version 6
recent_area Area_Reception
unlock_puzzles 0
randomize 0
randomize_music 0
playtime 52073.93
nexus_unlocked 1

-section levels
iiexit_intro_0 1 1
iiexit_intro_0_zone 1 1
iiexit_line 1 1
iiexit_pack 1 1
iiexit_peel 1 1
iiexit_repeat_visit_d_v3 1 1
iiexit_round_corners 1 1
iii 1 1
inf_cannon_d 1 1
inf_eat 1 1
inf_placeholder 1 1
inf_zone_rescue 1 1
infenter_first_2 1 1
infenter_line 1 1
infenter_line_both_sides 1 1
infenter_peel 1 1
infenter_peel_0 1 1
infenter_pick_corner_v2 1 1
infenter_poswall_setup 1 1
infenter_toggle 1 1
infenter_zone_v2 1 1
infexit_cannon 1 1
infexit_help_out 1 1
infexit_off_wall 1 1
infexit_ref_first 1 1
infexit_round_corner_2_d 1 1
infexit_round_corner_d 1 1
infexit_transfer_posseses 1 1
infexit_two_cannons_d 1 1
infexit_walk_out_reposition_d 1 1
initiate_peel 1 1
initiate_peel_0 1 1
inpush_intro 1 1
inpush_navigate_inf_zone_v2 1 1
inpush_no_right 1 1
inpush_player_is_shift 1 1
inpush_poswall_priority_v3 1 1
inpush_ref_flip 1 1
inpush_ref_track 1 1
inpush_sequential_rescue 1 1
interlope_setup 1 1
kiss_yourself_flip_first 1 1
kiss_yourself_toggle 1 1
load_elbow 1 1
lock_3 1 1
lock_door 1 1
lock_door_setup 1 1
multi_cycle_reorder 1 1
multi_gun 1 1
multi_order 1 1
multi_order_0 1 1
multi_swap 1 1
multi_valign 1 1
multi_valign_ref 1 1
mutual_stool 1 1
narrow_door 1 1
narrow_door_two_deep 1 1
narrower_door 1 1
nest_ref 1 1
nest_two 1 1
no_entry_off_wall_both 1 1
no_up_walls_1 1 1
no_up_walls_2 1 1
no_up_walls_3 1 1
no_up_walls_4 1 1
no_up_walls_block_stool_v2 1 1
no_walls 1 1
no_walls_2 1 1
no_walls_3_v2 1 1
no_walls_seven 1 1
oblong_intro 1 1
off_the_wall 1 1
off_the_wall_three 1 1
oldstyle_lock_two_doors 1 1
oldstyle_squash_4_sides_v2 1 1
oldstyle_transfer_then_save 1 1
one_way_portal_2 1 1
open_door 1 1
order_1by1_clone_push 1 1
order_donut_push 1 1
order_elbow_push 1 1
order_empty_3by3 1 1
order_hungry 1 1
order_mutual_carry 1 1
order_poswall_piecewise_push 1 1
order_ref_piecewise_push 1 1
order_ref_spiral 1 1
pack 1 1
pack_0 1 1
pack_3 1 1
pack_3_by_3 1 1
pack_ref 1 1
pack_three 1 1
player_clone_rescue_v2 1 1
player_cycle_rescue 1 1
playerr_carousel 1 1
playerr_cycle_carry 1 1
playerr_eat_four_correct 1 1
playerr_first 1 1
playerr_ienter 1 1
playerr_iexit_carousel_d 1 1
portal_open_close 1 1
portal_setup_both 1 1
possess_catch_flip_v2 1 1
possess_correct_block_v2 1 1
possess_edge_circulate 1 1
possess_fifteen_puzzle_rescue 1 1
possess_first 1 1
possess_first_2 1 1
possess_ii_block_v2 1 1
possess_partner_recovery 1 1
possess_ref_stack 1 1
possess_slots 1 1
possess_through 1 1
poswall_chain_3 1 1
poswall_chain_ref_search 1 1
poswall_chain_v2 1 1
poswall_clone_transfer 1 1
poswall_doesnt_count_finish 1 1
poswall_doesnt_count_target 1 1
poswall_edge_eat_thing 1 1
poswall_first 1 1
poswall_intro 1 1
poswall_make_clone_edible 1 1
poswall_ref_off_wall 1 1
poswall_ref_stool 1 1
poswall_stack_setup 1 1
poswall_two_walls_intro 1 1
poswall_two_walls_possess 1 1
push_once_entry_allowed_4 1 1
puzzlescript 1 1
ref 1 1
ref_carry_careful 1 1
ref_carry_simple 1 1
ref_clone 1 1
ref_enter_in_center 1 1
ref_stack_four 1 1
ref_stack_lock 1 1
ref_static 1 1
ref_transfer_first 1 1
ref_transfer_lock 1 1
ref_turn_around 1 1
ref2 1 1
rescue 1 1
rescue_my_clones 1 1
round_corners 1 1
second_puzzle 1 1
separate 1 1
shed_first 1 1
shed_iiexit 1 1
shed_intro_box_manipulation 1 1
shed_lock_door_2 1 1
shed_multi_simultaneous 1 1
shed_ref_flip_v3 1 1
shed_side_extrude 1 1
shed_tricky_corners 1 1
sokosoko 1 1
squash_inside_2 1 1
squash_inside_3 1 1
squash_inside_4 1 1
squash_inside_outer_wall 1 1
squash_inside_outer_wall_straightline 1 1
stack_transfer 1 1
stack_transfer_3_v2 1 1
static_focus_block 1 1
sticky_carry2_v2 1 1
stool_possess_2_v3 1 1
stool_possess_empty 1 1
stool_possess_empty_other 1 1
stool_possess_v3 1 1
swap_back 1 1
swap_blocks 1 1
swap_cannon 1 1
swap_chain 1 1
swap_first 1 1
text_1 1 1
text_3 1 1
text_clone_v2 1 1
text_eat_v2 1 1
text_flip 1 1
text_poswall 1 1
third_puzzle 1 1
three_goals_in_one 1 1
tight_turnaround 1 1
topology_stack 1 1
train 1 1
train_align 1 1
train_portal 1 1
train_remote_control 1 1
transfer 1 1
transfer_back_and_forth 1 1
transfer_clones_back_forth 1 1
transfer_clones_back_forth_0 1 1
transfer_clones_back_forth_2 1 1
transfer_clones_back_forth_3 1 1
transfer_eat 1 1
transfer_eat_0 1 1
transfer_keep_off_wall 1 1
transfer_mismatched_v2 1 1
transfer_mutual 1 1
transfer_peel 1 1
transfer_possess 1 1
transfer_straight_line 1 1
transfer_two_sides_thinking_face 1 1
transfer_ultra_stack 1 1
tricky_pack 1 1
turn_around 1 1
two_peel_careful 1 1
two_peel_easy 1 1
two_way_rope 1 1
up_down_shuffle 1 1
vanilla_inf_exit 1 1
wrap 1 1
wrap_full 1 1
wrap2 1 1
zoom_in_anim 1 1
zoom_out_anim 1 1
